COFI=	0.37	0.337
      fOBJ            LF0             r0            VP1            VP2             VM            KP1            KP2             KM           Qmax            Kba           Kdes             rE            pEP           fpEM             fD             gD             Vg          alpha             KD             Yg           Ygsl           wdie          gamma           beta          WPA2D            tau          wdorm        VNup_MB       KsNH4_MB       KsNO3_MB           Vnit         Vdenit            YgN
  1.36         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.25278544     1.09635091     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.341         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.27171897     2.95362329     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.342         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.23350971     2.82909163     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.343         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.37465409     3.01482267     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.344         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.46736057     3.41151518     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.344         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.58423145     3.12607135     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.344         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.56745454     3.08930504     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.344         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.38236707     3.48661917     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.344         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.39900817     2.95362329     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.345         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.16268531     2.62494454     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.345         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.23350971     3.57922888     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.345         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.23805718     3.57922888     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.345         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.43948099     2.95362329     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.346         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.36640016     3.57922888     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.346         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.79066654     3.54837036     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.347         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.61971990     2.97498560     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.348         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.22603456     2.65943729     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.348         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.59565560     2.95362329     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.350         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.56828270     3.71560828     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.353         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.49420983     2.77158157     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
 0.353         0.77785145     0.98664296     2.00000000     2.00000000     2.00000000    62.00000000     6.00000000   492.00000000     3.60000000     9.10000000     0.00400000     0.00014391     0.00142524     0.54785112     0.10512833     0.01113751     0.02207945     0.14541907     0.31584033     0.21145464     0.01000000     4.49685918     3.04855119     0.00100000     0.46000000     0.35730485     3.82308886     0.02249371     0.00049328     0.00964434     0.00488302     0.01375986     1.00000000
